intent,text
abbreviation, what does mco stand for
abbreviation, what does the abbreviation co mean
abbreviation, what is hp
abbreviation, is fare code b the same as business class
abbreviation, what does ewr mean
abbreviation, what is as
abbreviation, what is mco
abbreviation, what is hp
abbreviation, what does fare code qx mean
abbreviation, what does us stand for
abbreviation, what is fare code h
abbreviation, what is fare code h
abbreviation, what is fare code h
abbreviation, what is ewr
abbreviation, what does code yn mean
abbreviation, what is dl
abbreviation, what does the abbreviation dl mean
abbreviation, what does the meal code s stand for
abbreviation, what does us mean
abbreviation, what's the difference between fare code q and fare code f
abbreviation, what does nw stand for
abbreviation, what is restriction ap 57
abbreviation, what does the fare code qw mean
abbreviation, what is mia
abbreviation, define airline ua
abbreviation, what is bur
abbreviation, what is fare code h
abbreviation, what does fare code y mean
abbreviation, explain the fare code q
abbreviation, what is ewr
abbreviation, what is the meaning of fare code qx and qw
abbreviation, what does ua stand for
abbreviation, what does fare code y mean
abbreviation, fare code y what does that mean
abbreviation, what does ea mean
abbreviation, what does fare code q mean
abbreviation, what is ff
abbreviation, what is the yn code
abbreviation, what is fare code y mean
abbreviation, what does the fare code f and fn mean
airfare, what are the coach fares for flights from charlotte to newark tuesday evening
airfare, show me the most expensive one way first class fare from baltimore to dallas
airfare, i would like to find the cheapest one way fare from boston to oakland
airfare, what is your least expensive fare between atlanta and boston
airfare, what is the first class fare from indianapolis to orlando
airfare, show me round trip first class tickets from new york to miami
airfare, show me the prices of first class tickets on us air round trip from cleveland to miami
airfare, what is the cost of a round trip ticket first class between oak and atl
airfare, show me all first class fares from new york to miami leaving on a tuesday
airfare, how much does flight ua 281 from boston to denver cost
airfare, okay i just want to know the cheapest fare from atlanta to boston
airfare, round trip first class fares new york to miami
airfare, what is the lowest cost for a one way ticket from boston to washington
airfare, what are the prices of the flights from atlanta to dallas in the morning
airfare, can you show me the price of a flight to washington from atlanta on thursday morning
airfare, fares from dallas to baltimore
airfare, show me fares from houston to las vegas
airfare, show me round trip fares from las vegas to houston nonstop
airfare, please show me all fares for flights from denver to oakland
airfare, i would like to know the first class fare on a flight from baltimore to denver
airfare, how much does it cost to fly directly from philadelphia to san francisco on american airlines
airfare, please show me round trip tickets from denver to oakland
airfare, what is the price of a first class ticket from milwaukee to san francisco round trip
airfare, round trip fares from baltimore to philadelphia under 1000 dollars
airfare, okay i've got somebody else who wants to take a round trip ticket from charlotte to montreal
airfare, what is the cheapest fare i can get from dallas to denver
airfare, what's the cheapest round trip fare between boston and washington
airfare, show me round trip fares from denver to philadelphia
airfare, i would like the fare on the us air 1039 from denver to pittsburgh on april twenty
airfare, round trip fares from denver to philadelphia less than 1000 dollars
airfare, show me all prices of economy from baltimore to dallas
airfare, what is the fare for a one way flight from boston to atlanta
airfare, what are the coach fares from charlotte to la wednesday night
airfare, fares and flights from baltimore to philadelphia
airfare, what's the lowest round trip fare from dallas to baltimore
airfare, how much is the 718 am flight from las vegas to new york twa
airfare, show me the fare from dallas to san francisco
airfare, what's the price of the least expensive first class round trip ticket on us air from cleveland to miami
airfare, what is the lowest cost fare that delta has between boston and san francisco
airfare, i would like a ticket leaving from denver colorado to atlanta georgia with a stop in pittsburgh
flight, show me the flights from boston to san francisco
flight, i would like to see the flights from baltimore to philadelphia please
flight, i need to know what flights leave atlanta on sunday evening and arrive in baltimore
flight, show me one way flights from milwaukee to orlando leaving on wednesday morning
flight, show flights from denver to san francisco
flight, show me all flight from san francisco to oakland
flight, please give me all flights from long beach to memphis
flight, i would like to fly to san francisco early in the day
flight, show me all flights from philadelphia to denver on sunday which leave philadelphia after noon
flight, i need a flight from pittsburgh to new york city
flight, i would like to book a flight from charlotte to baltimore on april eighth
flight, give me the flights from san francisco to washington dc for december first
flight, flight from denver to salt lake city
flight, i need a flight from atlanta to philadelphia and i'm looking for the cheapest fare
flight, what flights go from boston to denver before 10 am
flight, flights from newark to cleveland daily 5 o'clock pm
flight, flight from nashville back to milwaukee
flight, list all flights going from boston to atlanta after 6 o'clock pm on wednesday
flight, on april sixth i would like to book an early morning flight from tampa to charlotte
flight, all northwest flights with stopovers in denver
flight, i would like to fly to denver for under 500 dollars please show me the airfares between pittsburgh and denver
flight, flights from indianapolis to seattle washington
flight, show me the flights from philadelphia to dallas that stop in atlanta
flight, what is your cheapest flight from pittsburgh to denver
flight, what are the coach flights between dallas and baltimore leaving august tenth and returning august twelve
flight, i need a flight from san francisco to boston that leaves after 10 pm
flight, i want a flight from denver to pittsburgh then from pittsburgh to atlanta then from atlanta back to pittsburgh back to denver
flight, what flights go from boston to atlanta next tuesday
flight, show me flights from philadelphia to oakland on friday
flight, find travel arrangements for a round trip flight from boston to pittsburgh
flight, okay and can you tell me for flights departing from dallas to philadelphia the latest flight you would have departing from dallas to philadelphia
flight, which transcontinental flight on united airlines from boston to dallas makes a stopover in philadelphia
flight, show me flights from san francisco to boston on thursday
flight, do you have a twa flight leaving early in the morning to san francisco from denver
flight, show flights from memphis to las vegas
flight, list all flights from new york to las vegas that fly nonstop on sunday and list flights from memphis to las vegas that fly nonstop on sunday
flight, show me the flights that go from san diego to newark new jersey by way of houston
flight, do you have an early morning direct flight from philadelphia to pittsburgh
flight, am flights from dallas to san francisco
flight, show me the flights from atlanta to philadelphia
flight_time, what times does continental depart from boston to san francisco
flight_time, please list the flight times from newark to boston
flight_time, now i'd like a schedule for the flights on tuesday morning from oakland no from dallas fort worth to atlanta
flight_time, show me times for flights from san francisco to atlanta
flight_time, what is the minimum connection time for houston intercontinental
flight_time, what is the schedule of flights from boston to denver next monday
flight_time, please give me the flight times i would like to fly from boston to baltimore in the morning before 8
flight_time, what is the total schedule for delta's flights to all airports
flight_time, what is the schedule for flights between pittsburgh and boston on the evening of july ninth
flight_time, please list the flight times from pittsburgh to newark
flight_time, what times does the late afternoon flight leave from washington for denver
flight_time, i would like a schedule of flights from denver to san francisco on tuesday
flight_time, what time is the last flight from washington to san francisco
flight_time, i would like the evening schedule of flights from san francisco to washington
flight_time, what time are flights from denver to san francisco on continental airlines
flight_time, what is delta's schedule of morning flights to atlanta
flight_time, please give me the flight times the morning on united airlines for september twentieth from philadelphia to san francisco
flight_time, what is the schedule of ground transportation from washington airport into downtown
flight_time, show me times for coach flights between boston and baltimore on wednesday
flight_time, what time does the tuesday morning 755 flight leaving washington arrive in san francisco
flight_time, please list the flight times from pittsburgh to newark
flight_time, what is the departure time of the latest flight of united airlines from denver to boston
flight_time, please tell me the times of the flights between boston and baltimore
flight_time, please list the flight times for boston to pittsburgh
flight_time, i would like the time of all flights from san francisco to pittsburgh on sunday
flight_time, what time does flight aa 459 depart
flight_time, i would like the time your earliest flight from washington to philadelphia
flight_time, what is the arrival time in san francisco for the 755 am flight leaving washington
flight_time, what is the flight schedule of the f28 from pittsburgh to baltimore
flight_time, please list the flight schedule from baltimore to san francisco on friday nights
flight_time, what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh
flight_time, what are the schedule of flights from boston to san francisco for august first
flight_time, what time does the flight leave denver going to san francisco on continental airlines
flight_time, show me the schedule for airlines leaving pittsburgh going to san francisco for next monday
flight_time, show me the flight schedule from pittsburgh to san francisco
flight_time, list departure times from denver to philadelphia which are later than 10 o'clock and earlier than 2 pm
flight_time, on united airlines give me the flight times from boston to dallas
flight_time, all right give me the flight times in the morning on september twentieth from pittsburgh to san francisco
flight_time, when does continental fly from philadelphia to denver on sundays
flight_time, what is the earliest departure time from boston to denver
ground_service, what kind of ground transportation is there in dallas
ground_service, is there ground transportation from the boston airport to downtown boston
ground_service, show me the ground transportation schedule in san francisco on thursday evening
ground_service, tell me about ground transportation between the dallas fort worth airport and downtown dallas
ground_service, train to newark
ground_service, what ground transportation is available in san francisco
ground_service, what ground transportation is there from the airport in atlanta to downtown
ground_service, what ground transportation is available at the baltimore airport
ground_service, is there any ground transportation to the city in dallas
ground_service, is there ground transportation in dallas from the dallas airport to downtown dallas
ground_service, can i get a rental car in dallas
ground_service, what type of ground transportation is available at philadelphia airport
ground_service, ground transportation in dallas and boston
ground_service, is there ground transportation from the airport in denver to downtown
ground_service, what is the available ground transportation between the airport in denver and downtown
ground_service, what is the ground transportation available in fort worth
ground_service, what type of ground transportation is available in washington
ground_service, what ground transport is available in baltimore
ground_service, what ground transportation is available in dallas
ground_service, what is the ground transportation in san diego
ground_service, what is the ground transportation from boston airport to boston downtown
ground_service, is there ground transportation between airport and downtown in boston
ground_service, show me all ground transportation in washington dc
ground_service, what ground transportation is available in boston
ground_service, what ground transportation is available into washington
ground_service, what ground transportation is available from the pittsburgh airport
ground_service, what ground transportation is available from pittsburgh to downtown
ground_service, what kind of ground transportation is available in denver
ground_service, can you find out about the ground transportation available in atlanta
ground_service, rental cars in washington dc
ground_service, how much time does it take to go between the airport and downtown by ground transportation in dallas
ground_service, show me the ground transportation schedule in philadelphia in the morning on wednesday
ground_service, is there an airport limousine at the atlanta airport
ground_service, please give me ground transportation information for denver
ground_service, show me the car rentals in baltimore
ground_service, are there any limousines or taxi services available at the boston airport
ground_service, i'm looking for ground transportation in dallas
ground_service, ground transportation from airport in boston to downtown boston
ground_service, ground transportation philadelphia
ground_service, what is the ground transportation available in the city of philadelphia
